Test #,Test Name,Count,Mean,SD,Min,Max,Range,QC-Lo-Lim (Mean-4σ),QC-Hi-Lim (Mean+4σ),Units
1190,TxBrd_P174_6571_DIO_24_HSD_HI_Current,123,0.0029,9.80E-06,0.0029,0.003,7.06E-05,0.0028608,0.0029392,A
1200,TxBrd_P174_6571_DIO_28_HSD_HI_Current,123,0.003,7.40E-06,0.003,0.003,3.66E-05,0.0029704,0.0030296,A
1210,TxBrd_P166_6571_DIO_0_HSD_HI_Current,123,0.003,1.27E-05,0.003,0.003,5.66E-05,0.0029492,0.0030508,A
1220,TxBrd_P166_6571_DIO_4_HSD_HI_Current,123,0.0029,4.40E-05,0.0029,0.003,0.0001249,0.002724,0.003076,A
1230,TxBrd_P166_6571_DIO_8_HSD_HI_Current,123,0.003,4.47E-05,0.0029,0.0031,0.0001428,0.0028212,0.0031788,A
1240,TxBrd_P166_6571_DIO_12_HSD_HI_Current,123,0.003,1.30E-05,0.0029,0.003,7.20E-05,0.002948,0.003052,A
1250,TxBrd_P166_6571_DIO_16_HSD_HI_Current,123,0.003,2.12E-05,0.003,0.003,8.82E-05,0.0029152,0.0030848,A
1260,TxBrd_P166_6571_DIO_20_HSD_HI_Current,123,0.003,1.75E-05,0.0029,0.003,6.84E-05,0.00293,0.00307,A
1270,TxBrd_P166_6571_DIO_24_HSD_HI_Current,123,0.0029,1.18E-05,0.0029,0.003,8.45E-05,0.0028528,0.0029472,A
1280,TxBrd_P166_6571_DIO_28_HSD_HI_Current,123,0.0029,2.31E-05,0.0029,0.003,6.90E-05,0.0028076,0.0029924,A
1290,TxBrd_P170_6571_DIO_0_HSD_HI_Current,123,0.003,3.86E-05,0.0029,0.0031,0.0001382,0.0028456,0.0031544,A
1300,TxBrd_P170_6571_DIO_4_HSD_HI_Current,123,0.0029,1.76E-05,0.0029,0.003,0.0001025,0.0028296,0.0029704,A
1310,TxBrd_P170_6571_DIO_8_HSD_HI_Current,123,0.003,1.72E-05,0.003,0.003,6.73E-05,0.0029312,0.0030688,A
1320,TxBrd_P170_6571_DIO_12_HSD_HI_Current,123,0.003,1.45E-05,0.0029,0.003,5.86E-05,0.002942,0.003058,A
1330,TxBrd_P170_6571_DIO_16_HSD_HI_Current,123,0.003,5.19E-05,0.0029,0.0031,0.0001494,0.0027924,0.0032076,A
1340,TxBrd_P170_6571_DIO_20_HSD_HI_Current,123,0.0029,3.47E-05,0.0029,0.003,9.53E-05,0.0027612,0.0030388,A
1350,TxBrd_P170_6571_DIO_24_HSD_HI_Current,123,0.003,5.82E-05,0.0029,0.0031,0.0001567,0.0027672,0.0032328,A
1360,TxBrd_P170_6571_DIO_28_HSD_HI_Current,123,0.0029,1.03E-05,0.0029,0.003,7.69E-05,0.0028588,0.0029412,A
1370,TxBrd_P146_6571_DIO_0_HSD_HI_Current,123,0.0029,1.28E-05,0.0029,0.003,5.98E-05,0.0028488,0.0029512,A
1380,TxBrd_P146_6571_DIO_4_HSD_HI_Current,123,0.003,1.40E-05,0.0029,0.003,9.12E-05,0.002944,0.003056,A
1390,TxBrd_P146_6571_DIO_8_HSD_HI_Current,123,0.003,2.88E-05,0.0029,0.003,9.71E-05,0.0028848,0.0031152,A
1400,TxBrd_P146_6571_DIO_12_HSD_HI_Current,123,0.0029,1.56E-05,0.0029,0.003,6.57E-05,0.0028376,0.0029624,A
1410,TxBrd_P146_6571_DIO_16_HSD_HI_Current,123,0.003,3.13E-05,0.0029,0.0031,0.0001237,0.0028748,0.0031252,A
