Test Number,Test Name,Pin,Published Data Id,Low Limit,High Limit,Scaling Factor,Base Units,Software Bin,Evaluation Type,Test Data Source,Export Data To
770,TxBrd_DC90V_SL23_1B_Voltage,DC90V_SL23_1B,Voltage,0.3,5,,V,,Numeric Limit,,
780,TxBrd_DC90V_SL23_2B_Voltage,DC90V_SL23_2B,Voltage,0.3,5,,V,,Numeric Limit,,
790,TxBrd_DC90V_SL23_3B_Voltage,DC90V_SL23_3B,Voltage,0.3,5,,V,,Numeric Limit,,
800,TxBrd_DC90V_SL23_4B_Voltage,DC90V_SL23_4B,Voltage,0.3,5,,V,,Numeric Limit,,
810,TxBrd_DC90_Relay1_Droop,P143_4081_DMM,Relay1_Droop,0.001,0.5,,V,,Numeric Limit,,
820,TxBrd_DC90_Relay2_Droop,P143_4081_DMM,Relay2_Droop,0.001,0.5,,V,,Numeric Limit,,
830,TxBrd_DC90_Relay3_Droop,P143_4081_DMM,Relay3_Droop,0.001,0.5,,V,,Numeric Limit,,
840,TxBrd_DC90_Relay4_Droop,P143_4081_DMM,Relay4_Droop,0.001,0.5,,V,,Numeric Limit,,
850,TxBrd_DC90_Relay5_Droop,P143_4081_DMM,Relay5_Droop,0.001,0.5,,V,,Numeric Limit,,
860,TxBrd_DC90_Relay6_Droop,P143_4081_DMM,Relay6_Droop,0.001,0.5,,V,,Numeric Limit,,
870,TxBrd_DC90_Relay7_Droop,P143_4081_DMM,Relay7_Droop,0.001,0.5,,V,,Numeric Limit,,
880,TxBrd_DC90_Relay8_Droop,P143_4081_DMM,Relay8_Droop,0.001,0.5,,V,,Numeric Limit,,
890,TxBrd_DC90_Relay9_Droop,P143_4081_DMM,Relay9_Droop,0.001,0.5,,V,,Numeric Limit,,
900,TxBrd_DC90_Relay10_Droop,P143_4081_DMM,Relay10_Droop,0.001,0.5,,V,,Numeric Limit,,
910,TxBrd_DC90_Relay11_Droop,P143_4081_DMM,Relay11_Droop,0.001,0.5,,V,,Numeric Limit,,
