--------------------------------------------------------------------------------
File Name:                	TXBoard1.stdf
Lot ID:                   	Default

Test #   Test Name                                   Count         Mean           SD           Min          Max        Range    QC-Lo-Lim    QC-Hi-Lim    Units   
  1000   TxBrd_P170_6571_DIO_8_HSD_HI_Current           60       0.0030   0.0177E-03        0.0030       0.0031   0.0721E-03        0.002        0.004   A
  1010   TxBrd_P170_6571_DIO_12_HSD_HI_Current          60       0.0030   0.0213E-03        0.0029       0.0030   0.0693E-03        0.002        0.004   A
  1020   TxBrd_P170_6571_DIO_16_HSD_HI_Current          60       0.0030   0.0591E-03        0.0029       0.0031   0.1418E-03        0.002        0.004   A
  1030   TxBrd_P170_6571_DIO_20_HSD_HI_Current          60       0.0030   0.0251E-03        0.0029       0.0030   0.0727E-03        0.002        0.004   A
  1040   TxBrd_P170_6571_DIO_24_HSD_HI_Current          60       0.0030   0.0531E-03        0.0029       0.0031   0.1282E-03        0.002        0.004   A
  1050   TxBrd_P170_6571_DIO_28_HSD_HI_Current          60       0.0030   0.0111E-03        0.0029       0.0030   0.0657E-03        0.002        0.004   A
  1060   TxBrd_P146_6571_DIO_0_HSD_HI_Current           60       0.0029   0.0201E-03        0.0029       0.0030   0.0620E-03        0.002        0.004   A
  1070   TxBrd_P146_6571_DIO_4_HSD_HI_Current           60       0.0030   0.0138E-03        0.0030       0.0030   0.0637E-03        0.002        0.004   A
  1080   TxBrd_P146_6571_DIO_8_HSD_HI_Current           60       0.0030   0.0142E-03        0.0030       0.0030   0.0563E-03        0.002        0.004   A
  1090   TxBrd_P146_6571_DIO_12_HSD_HI_Current          60       0.0030   0.0090E-03        0.0029       0.0030   0.0631E-03        0.002        0.004   A
  1100   TxBrd_P146_6571_DIO_16_HSD_HI_Current          60       0.0030   0.0342E-03        0.0029       0.0030   0.1009E-03        0.002        0.004   A
  1110   TxBrd_P146_6571_DIO_20_HSD_HI_Current          60       0.0030   0.0241E-03        0.0030       0.0030   0.0764E-03        0.002        0.004   A
  1120   TxBrd_P146_6571_DIO_24_HSD_HI_Current          60       0.0030   0.0148E-03        0.0030       0.0030   0.0604E-03        0.002        0.004   A
  1130   TxBrd_P146_6571_DIO_28_HSD_HI_Current          60       0.0030   0.0562E-03        0.0029       0.0031   0.1366E-03        0.002        0.004   A
  1140   TxBrd_P154_6571_DIO_0_HSD_HI_Current           60       0.0030   0.0400E-03        0.0029       0.0030   0.1034E-03        0.002        0.004   A
  1150   TxBrd_P154_6571_DIO_4_HSD_HI_Current           60       0.0029   0.0376E-03        0.0029       0.0030   0.0993E-03        0.002        0.004   A
  1160   TxBrd_P154_6571_DIO_8_HSD_HI_Current           60       0.0030   0.0160E-03        0.0029       0.0030   0.0586E-03        0.002        0.004   A
  1170   TxBrd_P154_6571_DIO_12_HSD_HI_Current          60       0.0030   0.0123E-03        0.0029       0.0030   0.0485E-03        0.002        0.004   A
  1180   TxBrd_P174_6571_DIO_1_HSD_LO_Voltage           60       2.9856       0.0010        2.9844       2.9870       0.0026        2.500        3.500   V
